UNIT,TIMESTAMP,TYPE,MARKET,INSTRUMENT,MAPPED_INSTRUMENT,BASE,QUOTE,BASE_ID,QUOTE_ID,TRANSFORM_FUNCTION,OPEN,HIGH,LOW,CLOSE,FIRST_TRADE_TIMESTAMP,LAST_TRADE_TIMESTAMP,FIRST_TRADE_PRICE,HIGH_TRADE_PRICE,HIGH_TRADE_TIMESTAMP,LOW_TRADE_PRICE,LOW_TRADE_TIMESTAMP,LAST_TRADE_PRICE,TOTAL_TRADES,TOTAL_TRADES_BUY,TOTAL_TRADES_SELL,TOTAL_TRADES_UNKNOWN,VOLUME,QUOTE_VOLUME,VOLUME_BUY,QUOTE_VOLUME_BUY,VOLUME_SELL,QUOTE_VOLUME_SELL,VOLUME_UNKNOWN,QUOTE_VOLUME_UNKNOWN,datetime
HOUR,1694577600,954,binance,BTCUSDT,BTC-USDT,BTC,USDT,1,7,,25879.24,25949.19,25864.32,25926.36,1694577600,1694581199,25879.24,25949.19,1694579532,25864.32,1694578500,25926.36,17350,8787,8563,0,564.98038,14639249.8909398,279.41028,7240512.3792866,285.5701,7398737.5116532,0,0,2023-09-13 04:00:00+00:00
HOUR,1694581200,954,binance,BTCUSDT,BTC-USDT,BTC,USDT,1,7,,25926.36,25927.98,25850.91,25900.01,1694581200,1694584799,25926.37,25927.98,1694581510,25850.91,1694582563,25900.01,18136,7602,10534,0,536.27194,13883774.5096192,253.90069,6573199.5983414,282.37125,7310574.9112778,0,0,2023-09-13 05:00:00+00:00
HOUR,1694584800,954,binance,BTCUSDT,BTC-USDT,BTC,USDT,1,7,,25900.01,25995.0,25866.73,25956.65,1694584800,1694588399,25900.01,25995.0,1694588164,25866.73,1694585418,25956.65,20608,10481,10127,0,720.1353,18669342.3776154,401.72852,10415149.0913405,318.40678,8254193.2862749,0,0,2023-09-13 06:00:00+00:00
HOUR,1694588400,954,binance,BTCUSDT,BTC-USDT,BTC,USDT,1,7,,25956.65,26109.94,25855.17,25879.91,1694588400,1694591999,25959.41,26109.94,1694590881,25855.17,1694591878,25879.91,53925,26240,27685,0,2182.84462,56706003.7985534,1161.58466,30174325.7045828,1021.25996,26531678.0939706,0,0,2023-09-13 07:00:00+00:00
HOUR,1694592000,954,binance,BTCUSDT,BTC-USDT,BTC,USDT,1,7,,25879.91,25966.96,25866.17,25952.88,1694592000,1694595599,25879.92,25966.96,1694593986,25866.17,1694592036,25952.88,24448,10847,13601,0,671.94839,17428348.2567743,334.98163,8687982.3132387,336.96676,8740365.9435356,0,0,2023-09-13 08:00:00+00:00
HOUR,1694595600,954,binance,BTCUSDT,BTC-USDT,BTC,USDT,1,7,,25952.88,26205.89,25928.54,26154.98,1694595600,1694599199,25952.88,26205.89,1694599107,25928.54,1694596069,26154.98,40670,22967,17703,0,1936.05206,50481999.713045,1167.58303,30444929.6598722,768.46903,20037070.0531728,0,0,2023-09-13 09:00:00+00:00
HOUR,1694599200,954,binance,BTCUSDT,BTC-USDT,BTC,USDT,1,7,,26154.98,26233.16,26094.53,26151.9,1694599200,1694602799,26154.98,26233.16,1694599238,26094.53,1694601239,26151.9,32114,14293,17821,0,1535.94703,40162781.397995,701.28345,18339869.7617456,834.66358,21822911.6362494,0,0,2023-09-13 10:00:00+00:00
HOUR,1694602800,954,binance,BTCUSDT,BTC-USDT,BTC,USDT,1,7,,26151.9,26247.79,26107.83,26198.41,1694602800,1694606399,26151.91,26247.79,1694606147,26107.83,1694603799,26198.41,27032,12703,14329,0,1159.41294,30337680.3094351,576.02223,15073707.5183205,583.39071,15263972.7911146,0,0,2023-09-13 11:00:00+00:00
HOUR,1694606400,954,binance,BTCUSDT,BTC-USDT,BTC,USDT,1,7,,26198.41,26268.54,26016.22,26212.51,1694606400,1694609999,26198.48,26268.54,1694607219,26016.22,1694608290,26212.51,61448,28945,32503,0,3319.62609,86820958.5201195,1560.8516,40825508.308374,1758.77449,45995450.2117455,0,0,2023-09-13 12:00:00+00:00
HOUR,1694610000,954,binance,BTCUSDT,BTC-USDT,BTC,USDT,1,7,,26212.51,26232.46,26083.8,26124.87,1694610000,1694613599,26217.11,26232.46,1694610007,26083.8,1694613339,26124.87,33851,14349,19502,0,1567.43877,40999087.5581365,671.12695,17554696.9080148,896.31182,23444390.6501217,0,0,2023-09-13 13:00:00+00:00
HOUR,1694613600,954,binance,BTCUSDT,BTC-USDT,BTC,USDT,1,7,,26124.87,26349.17,26068.73,26214.37,1694613600,1694617199,26124.88,26349.17,1694615796,26068.73,1694613912,26214.37,47900,23942,23958,0,2227.01858,58360251.2979874,1189.92821,31188346.6631668,1037.09037,27171904.6348206,0,0,2023-09-13 14:00:00+00:00
