trial,sharpe,return,drawdown,atr_multiplier,use_leverage,plot_path,EMA_Signal,MACD_Signal,BB_RSI_Signal,GoldenCross_Signal,Stochastic_Signal,OBV_Signal,VWAP_Signal
28,9.469752146245119,4.618868060536863,-1.4073523443689506,3.6365279074601937,True,../data/optuna_backtest_results\trial_28_EMA_3_MACD0_BB_R11_Gold26_Stoc27_OBV_4_VWAP25.html,0.03730822417923881,0.004281365964167269,0.11344715534758358,0.2698259528522951,0.27629491223127484,0.0402614685802514,0.2585809208451891
29,9.666949584829647,5.95560207642023,-1.539522126776549,3.2986034199611667,True,../data/optuna_backtest_results\trial_29_EMA_4_MACD0_BB_R9_Gold26_Stoc29_OBV_3_VWAP25.html,0.045809591516410446,0.0028360539519699164,0.09841416511700053,0.2656086088268144,0.29873588621111213,0.03548484100249167,0.25311085337420086
30,4.038936388148485,1.6363558932417588,-1.402887789715368,2.549611414719938,False,../data/optuna_backtest_results\trial_30_EMA_2_MACD0_BB_R11_Gold29_Stoc22_OBV_3_VWAP29.html,0.029441516661551148,0.006032446520386157,0.11437250555676864,0.2956930122144478,0.2292651911457551,0.03478339380621666,0.29041193409487454
31,8.616954963395058,5.311212240248753,-1.5400795476483986,3.2157061254356853,True,../data/optuna_backtest_results\trial_31_EMA_5_MACD3_BB_R4_Gold24_Stoc24_OBV_6_VWAP31.html,0.05451553956102257,0.032801633682630005,0.040889749962568514,0.24994357909903944,0.24408868104721357,0.062398729732591744,0.3153620869149341
32,10.096956127549186,6.2694520881587,-1.5391051020637758,3.4157543433698616,True,../data/optuna_backtest_results\trial_32_EMA_3_MACD0_BB_R9_Gold23_Stoc28_OBV_4_VWAP28.html,0.03869503348560076,0.0008376845477167555,0.0984198504672018,0.23985700237919977,0.28748914881074233,0.04491370380808077,0.28978757650145776
33,4.613168949122764,0.7609796465507079,-0.8202470665475969,3.337177449997861,True,../data/optuna_backtest_results\trial_33_EMA_3_MACD7_BB_R9_Gold26_Stoc25_OBV_0_VWAP27.html,0.03163436234338677,0.07777489744909176,0.0945034555529236,0.26656459859462883,0.25815944483796865,0.0012226988365995907,0.2701405423854007
34,6.806022069048558,4.1337751890712315,-1.896382271802688,3.0595962892719766,True,../data/optuna_backtest_results\trial_34_EMA_3_MACD3_BB_R14_Gold22_Stoc27_OBV_2_VWAP26.html,0.031982593114260924,0.03138114200015278,0.14687342023747757,0.22151850000935944,0.27518119364758775,0.025244804057227448,0.26781834693393414
35,0.7696740146667238,0.0552345498561424,-0.3482782810867113,1.2743943552981774,False,../data/optuna_backtest_results\trial_35_EMA_8_MACD6_BB_R12_Gold21_Stoc23_OBV_5_VWAP22.html,0.0813354629814894,0.06336318521585459,0.12401187193738182,0.21893272499542324,0.23693771236384964,0.05102834635134749,0.22439069615465382
36,5.652772255072787,3.3058607481097235,-1.685018882475442,2.7255376747926277,True,../data/optuna_backtest_results\trial_36_EMA_0_MACD2_BB_R6_Gold24_Stoc31_OBV_9_VWAP25.html,0.006962440398769932,0.029145719586299183,0.06074705961758498,0.24135841660854185,0.31036970865382363,0.0940631375472402,0.25735351758774017
37,-6.025450478377753,-1.6383878041624889,-3.1986001885260906,2.1171874080727497,True,../data/optuna_backtest_results\trial_37_EMA_2_MACD0_BB_R12_Gold30_Stoc21_OBV_2_VWAP29.html,0.028768762916412612,0.0016220534296147867,0.12717091913316292,0.3015064406562225,0.2127566311549814,0.02923605692097778,0.29893913578862813
38,8.319478511006976,4.037197488885491,-1.8148915092440099,3.6122870532423272,False,../data/optuna_backtest_results\trial_38_EMA_5_MACD3_BB_R7_Gold25_Stoc24_OBV_10_VWAP24.html,0.05111679273387672,0.037949542760145644,0.07042791910440985,0.2532185996082673,0.2411665438278668,0.10264384373803499,0.24347675822739864
39,1.8151084769027221,1.3606533755581962,-6.094633866370936,4.088964694404286,True,../data/optuna_backtest_results\trial_39_EMA_5_MACD8_BB_R4_Gold21_Stoc19_OBV_11_VWAP29.html,0.05197789528412358,0.08642184321154124,0.04218470953138833,0.21367812378072853,0.19282120057601224,0.1149799177266033,0.29793630988960285
40,1.5492056007586703,0.2351287715189665,-0.9042577771497418,3.276281582510647,False,../data/optuna_backtest_results\trial_40_EMA_9_MACD4_BB_R12_Gold20_Stoc25_OBV_5_VWAP21.html,0.09893845196947927,0.04942374455416227,0.12281692832563508,0.2011935777198022,0.2548551080202584,0.05994052521441809,0.21283166419624464
41,7.278835286433815,4.455896030078632,-1.549648193536024,3.074292371722721,True,../data/optuna_backtest_results\trial_41_EMA_0_MACD12_BB_R0_Gold30_Stoc21_OBV_2_VWAP32.html,0.00041176708252891887,0.12635304411588236,0.0005605642068547117,0.3036052129770868,0.21979898361107103,0.02183509968373601,0.32743532832284017
42,2.546329301367232,0.3992153669344578,-0.9073258635343806,3.518989968458038,True,../data/optuna_backtest_results\trial_42_EMA_8_MACD1_BB_R8_Gold22_Stoc31_OBV_4_VWAP22.html,0.08488508182758582,0.01641527420072801,0.08468286538048628,0.22962298466831021,0.3154570135960466,0.04328782775124975,0.22564895257559336
43,5.402689851436349,0.915335184321453,-0.8558922477723607,3.5014444772993096,True,../data/optuna_backtest_results\trial_43_EMA_6_MACD0_BB_R12_Gold26_Stoc27_OBV_3_VWAP22.html,0.06704152741585288,0.0014356975735307048,0.12795581436132691,0.2665143602600232,0.27272735014225924,0.03827209395712434,0.2260531562898827
44,6.3894958087315,2.8409681543728693,-1.521666151394785,2.8669392869344263,True,../data/optuna_backtest_results\trial_44_EMA_9_MACD1_BB_R6_Gold18_Stoc33_OBV_6_VWAP23.html,0.09804063717605273,0.01965560135308263,0.06629256035399861,0.18299725093359753,0.3332139373972804,0.06758751675429815,0.23221249603168995
45,2.801831037742454,2.227424814374279,-4.30200726514709,4.508629218423652,True,../data/optuna_backtest_results\trial_45_EMA_5_MACD5_BB_R9_Gold17_Stoc29_OBV_1_VWAP30.html,0.05081532391513628,0.054911939400246405,0.09734932054798198,0.17647076722985963,0.2991566091030523,0.01857024274999447,0.3027257970537289
46,3.4233821418615062,2.430174003099861,-4.367833690435086,4.062181502919833,True,../data/optuna_backtest_results\trial_46_EMA_2_MACD0_BB_R12_Gold13_Stoc29_OBV_17_VWAP24.html,0.024777074039466173,0.00041277042826347863,0.12073378094081252,0.13293863033470138,0.292882208708697,0.17843157789522976,0.24982395765282972
47,8.719771331232117,4.415309801865508,-1.4254677381605463,3.695884920122232,True,../data/optuna_backtest_results\trial_47_EMA_5_MACD3_BB_R3_Gold29_Stoc29_OBV_3_VWAP24.html,0.05644395724659284,0.03678516681953098,0.03524870371951712,0.2921811520496682,0.29430389574545446,0.03885091159703556,0.24618621282220088
48,5.744750522435977,2.9476066946233948,-1.8771543702379434,3.715559255282246,True,../data/optuna_backtest_results\trial_48_EMA_2_MACD3_BB_R3_Gold30_Stoc26_OBV_9_VWAP24.html,0.020797923712635724,0.03299659535950895,0.030739524297430022,0.30518590615610364,0.26665207356023507,0.0961319678342735,0.2474960090798132
49,5.358839501287608,2.9278669999534435,-1.8087585233716452,3.934158930953144,True,../data/optuna_backtest_results\trial_49_EMA_5_MACD5_BB_R4_Gold29_Stoc27_OBV_0_VWAP27.html,0.05287344762232335,0.053529080914695215,0.04585901364074802,0.291192545522093,0.27625710342375914,0.009266653467613522,0.27102215540876773
