,searchTerm,weekLabel,interestScore
261,ethereum,"Jan 12 – 18, 2025",49
262,ethereum,"Jan 19 – 25, 2025",59
263,ethereum,"Jan 26 – Feb 1, 2025",45
264,ethereum,"Feb 2 – 8, 2025",63
265,ethereum,"Feb 9 – 15, 2025",39
266,ethereum,"Feb 16 – 22, 2025",38
267,ethereum,"Feb 23 – Mar 1, 2025",46
268,ethereum,"Mar 2 – 8, 2025",51
269,ethereum,"Mar 9 – 15, 2025",31
270,cryptocurrency,"Mar 3 – 9, 2024",79
271,cryptocurrency,"Mar 10 – 16, 2024",73
272,cryptocurrency,"Mar 17 – 23, 2024",61
273,cryptocurrency,"Mar 24 – 30, 2024",63
274,cryptocurrency,"Mar 31 – Apr 6, 2024",52
275,cryptocurrency,"Apr 7 – 13, 2024",51
276,cryptocurrency,"Apr 14 – 20, 2024",50
277,cryptocurrency,"Apr 21 – 27, 2024",45
278,cryptocurrency,"Apr 28 – May 4, 2024",43
279,cryptocurrency,"May 5 – 11, 2024",40
280,cryptocurrency,"May 12 – 18, 2024",43
281,cryptocurrency,"May 19 – 25, 2024",40
282,cryptocurrency,"May 26 – Jun 1, 2024",43
283,cryptocurrency,"Jun 2 – 8, 2024",41
284,cryptocurrency,"Jun 9 – 15, 2024",44
285,cryptocurrency,"Jun 16 – 22, 2024",39
286,cryptocurrency,"Jun 23 – 29, 2024",39
287,cryptocurrency,"Jun 30 – Jul 6, 2024",39
288,cryptocurrency,"Jul 7 – 13, 2024",44
289,cryptocurrency,"Jul 14 – 20, 2024",57
290,cryptocurrency,"Jul 21 – 27, 2024",45
291,cryptocurrency,"Jul 28 – Aug 3, 2024",42
292,cryptocurrency,"Aug 4 – 10, 2024",43
293,cryptocurrency,"Aug 11 – 17, 2024",41
294,cryptocurrency,"Aug 18 – 24, 2024",40
295,cryptocurrency,"Aug 25 – 31, 2024",41
296,cryptocurrency,"Sep 1 – 7, 2024",43
297,cryptocurrency,"Sep 8 – 14, 2024",38
298,cryptocurrency,"Sep 15 – 21, 2024",43
299,cryptocurrency,"Sep 22 – 28, 2024",42
300,cryptocurrency,"Sep 29 – Oct 5, 2024",37
301,cryptocurrency,"Oct 6 – 12, 2024",37
302,cryptocurrency,"Oct 13 – 19, 2024",38
303,cryptocurrency,"Oct 20 – 26, 2024",37
304,cryptocurrency,"Oct 27 – Nov 2, 2024",37
305,cryptocurrency,"Nov 3 – 9, 2024",52
306,cryptocurrency,"Nov 10 – 16, 2024",79
307,cryptocurrency,"Nov 17 – 23, 2024",75
